Angle,PBEh-3C,HF,B3LYP
0,-268.98227752,-268.0754289888,-269.5263445762
10.58823529,-268.98245893,-268.075764753,-269.5266931394
21.17647059,-268.98344047,-268.0770029309,-269.5277549033
31.76470588,-268.98496899,-268.0788553002,-269.5292627969
42.35294118,-268.98660597,-268.0807130248,-269.5308107299
52.94117647,-268.98851567,-268.0823559033,-269.5324080481
63.52941176,-268.99000138,-268.0839678013,-269.5335601792
74.11764706,-268.98923785,-268.083084422,-269.5327965008
84.70588235,-268.9874443,-268.0812483859,-269.5312261449
95.29411765,-268.98515481,-268.0788528132,-269.5291450078
105.88235294,-268.98277681,-268.0764095295,-269.526984091
116.47058824,-268.98093232,-268.0745732172,-269.5253184285
127.05882353,-268.98019315,-268.0739032001,-269.5246609386
137.64705882,-268.9806772,-268.0745366643,-269.5251063761
148.23529412,-268.98212334,-268.0761912489,-269.526392824
158.82352941,-268.98389231,-268.0781767577,-269.5279728922
169.41176471,-268.98531082,-268.0798762607,-269.5293559151
180,-268.98607771,-268.0808082756,-269.5301511914
